Region,InstanceType,OnDemand_Hourly,Spot_Hourly,EC2_SP_1yr_Hourly,EC2_SP_3yr_Hourly,Compute_SP_1yr_Hourly,Compute_SP_3yr_Hourly,RI_1yr_NoUpfront,RI_3yr_NoUpfront,RI_1yr_PartialUpfront,RI_3yr_PartialUpfront,RI_1yr_AllUpfront,RI_3yr_AllUpfront
us-east-1,m7gd.metal,3.4171,0.4068,,,,,3.4171,3.4171,3.4171,3.4171,3.4171,3.4171
us-east-1,m7gd.xlarge,0.2136,0.1264,,,,,0.2136,0.2136,0.2136,0.2136,0.2136,0.2136
us-east-1,m7i-flex.12xlarge,0.0,0.8343,,,,,2.29824,2.29824,2.29824,2.29824,2.29824,2.29824
us-east-1,m7i-flex.16xlarge,0.0,1.2148,,,,,10.74432,10.74432,10.74432,10.74432,10.74432,10.74432
us-east-1,m7i-flex.2xlarge,0.0,0.2399,,,,,1.34304,1.34304,1.34304,1.34304,1.34304,1.34304
us-east-1,m7i-flex.4xlarge,6.76608,0.2955,,,,,6.76608,6.76608,6.76608,6.76608,6.76608,6.76608
us-east-1,m7i-flex.8xlarge,5.37216,0.7162,,,,,5.37216,5.37216,5.37216,5.37216,5.37216,5.37216
us-east-1,m7i-flex.large,0.09576,0.0255,,,,,0.16336,0.16336,0.16336,0.16336,0.16336,0.16336
us-east-1,m7i-flex.xlarge,0.25912,0.0853,,,,,0.25912,0.25912,0.25912,0.25912,0.25912,0.25912
us-east-1,m7i.12xlarge,0.0,0.6679,,,,,2.4192,2.4192,2.4192,2.4192,2.4192,2.4192
us-east-1,m7i.16xlarge,4.3072,0.9572,,,,,10.9056,10.9056,10.9056,10.9056,10.9056,10.9056
us-east-1,m7i.24xlarge,0.0,2.0825,,,,,6.4608,6.4608,6.4608,6.4608,6.4608,6.4608
us-east-1,m7i.2xlarge,0.0,0.1314,,,,,0.4032,0.4032,0.4032,0.4032,0.4032,0.4032
us-east-1,m7i.48xlarge,32.7168,3.7225,,,,,32.7168,32.7168,32.7168,32.7168,32.7168,32.7168
us-east-1,m7i.4xlarge,0.0,0.2415,,,,,6.8064,6.8064,6.8064,6.8064,6.8064,6.8064
