priceType,skuName,productName,retailPrice,unitOfMeasure,location,meterName,reservationTerm,currencyCode,armRegionName,serviceName
,DC8edsv5 Spot,Virtual Machines DCedsv5 Series,0.0904,1 Hour,US East 2,DC8edsv5 Spot,,USD,eastus2,Virtual Machines
,Standard_M832-208ds_12_v3 Spot,Virtual Machines Mdsv3 High Memory Series Linux,28.38806,1 Hour,US East 2,Standard_M832-208ds_12_v3 Spot,,USD,eastus2,Virtual Machines
,E16-4ds v5,Virtual Machines Edsv5 Series Windows,1.888,1 Hour,US East 2,E16-4ds v5,,USD,eastus2,Virtual Machines
,E16-4ds v5,Virtual Machines Edsv5 Series Windows,1.152,1 Hour,US East 2,E16-4ds v5,,USD,eastus2,Virtual Machines
,Standard_NV12ads_A10_v5 Low Priority,Virtual Machines NVadsA10v5 Series,0.182,1 Hour,US East 2,NV12ads A10 v5 Low Priority,,USD,eastus2,Virtual Machines
,Standard_E32bs_v5,Virtual Machines Ebsv5 Series,2.384,1 Hour,US East 2,E32bs v5,,USD,eastus2,Virtual Machines
,Standard_E32bs_v5,Virtual Machines Ebsv5 Series,12321.0,1 Hour,US East 2,E32bs v5,1 Year,USD,eastus2,Virtual Machines
,Standard_E32bs_v5,Virtual Machines Ebsv5 Series,21928.0,1 Hour,US East 2,E32bs v5,3 Years,USD,eastus2,Virtual Machines
,D4s v3,Virtual Machines DSv3 Series,0.192,1 Hour,US East 2,D4s v3,,USD,eastus2,Virtual Machines
,D4s v3,Virtual Machines DSv3 Series,1003.0,1 Hour,US East 2,D4s v3,1 Year,USD,eastus2,Virtual Machines
,D4s v3,Virtual Machines DSv3 Series,1937.0,1 Hour,US East 2,D4s v3,3 Years,USD,eastus2,Virtual Machines
,B16ms,Virtual Machines BS Series Windows,0.73,1 Hour,US East 2,B16ms,,USD,eastus2,Virtual Machines
,B16ms,Virtual Machines BS Series Windows,0.666,1 Hour,US East 2,B16ms,,USD,eastus2,Virtual Machines
,E32-16as v6,Virtual Machines Easv6 Series Windows,3.379,1 Hour,US East 2,E32-16as v6,,USD,eastus2,Virtual Machines
,E32-16as v6,Virtual Machines Easv6 Series Windows,1.907,1 Hour,US East 2,E32-16as v6,,USD,eastus2,Virtual Machines
,Standard_D8ads_v5,Virtual Machines Dadsv5 Series,0.412,1 Hour,US East 2,D8ads v5,,USD,eastus2,Virtual Machines
,Standard_D8ads_v5,Virtual Machines Dadsv5 Series,2129.0,1 Hour,US East 2,D8ads v5,1 Year,USD,eastus2,Virtual Machines
,Standard_D8ads_v5,Virtual Machines Dadsv5 Series,4114.0,1 Hour,US East 2,D8ads v5,3 Years,USD,eastus2,Virtual Machines
,Standard_M24-6s_v3 Low Priority,Virtual Machines Msv3 Medium Memory Series Linux,0.614,1 Hour,US East 2,Standard_M24-6s_v3 Low Priority,,USD,eastus2,Virtual Machines
,M32-16ms Spot,Virtual Machines MS Series Windows,1.178178,1 Hour,US East 2,M32-16ms Spot,,USD,eastus2,Virtual Machines
,M32-16ms Spot,Virtual Machines MS Series Windows,0.858596,1 Hour,US East 2,M32-16ms Spot,,USD,eastus2,Virtual Machines
,E4ds v5 Spot,Virtual Machines Edsv5 Series Windows,0.088547,1 Hour,US East 2,E4ds v5 Spot,,USD,eastus2,Virtual Machines
,E4ds v5 Spot,Virtual Machines Edsv5 Series Windows,0.054029,1 Hour,US East 2,E4ds v5 Spot,,USD,eastus2,Virtual Machines
,D96as v6,Virtual Machines Dasv6 Series,4.358,1 Hour,US East 2,D96as v6,,USD,eastus2,Virtual Machines
,D96as v6,Virtual Machines Dasv6 Series,22526.0,1 Hour,US East 2,D96as v6,1 Year,USD,eastus2,Virtual Machines
,D96as v6,Virtual Machines Dasv6 Series,43525.0,1 Hour,US East 2,D96as v6,3 Years,USD,eastus2,Virtual Machines
,B2pls v2,Bpsv2 Series Cloud Services,0.0428,1 Hour,US East 2,B2pls v2,,USD,eastus2,Virtual Machines
,Standard_M176-88bds_4_v3,Virtual Machines Mbdsv3 Series,62.83,1 Hour,US East 2,Standard_M176-88bds_4_v3,,USD,eastus2,Virtual Machines
,Standard_M176-88bds_4_v3,Virtual Machines Mbdsv3 Series,324741.0,1 Hour,US East 2,Standard_M176-88bds_4_v3,1 Year,USD,eastus2,Virtual Machines
,Standard_M176-88bds_4_v3,Virtual Machines Mbdsv3 Series,577929.0,1 Hour,US East 2,Standard_M176-88bds_4_v3,3 Years,USD,eastus2,Virtual Machines
,E8ds v6 Spot,Virtual Machines Edsv6 Series Windows,0.14308,1 Hour,US East 2,E8ds v6 Spot,,USD,eastus2,Virtual Machines
,E8ds v6 Spot,Virtual Machines Edsv6 Series Windows,0.09156,1 Hour,US East 2,E8ds v6 Spot,,USD,eastus2,Virtual Machines
,D16as v4 Low Priority,Virtual Machines Dasv4 Series,0.154,1 Hour,US East 2,D16as v4 Low Priority,,USD,eastus2,Virtual Machines
,E20as v5 Low Priority,Virtual Machines Easv5 Series,0.226,1 Hour,US East 2,E20as v5 Low Priority,,USD,eastus2,Virtual Machines
,Standard_E96bs_v5 Spot,Virtual Machines Ebsv5 Series,1.41395,1 Hour,US East 2,E96bs v5 Spot,,USD,eastus2,Virtual Machines
,F16ams v6,Virtual Machines Famsv6 Series,1.432,1 Hour,US East 2,F16ams v6,,USD,eastus2,Virtual Machines
,F16ams v6,Virtual Machines Famsv6 Series,7777.0,1 Hour,US East 2,F16ams v6,1 Year,USD,eastus2,Virtual Machines
,F16ams v6,Virtual Machines Famsv6 Series,14677.0,1 Hour,US East 2,F16ams v6,3 Years,USD,eastus2,Virtual Machines
,D32-8s v3,Virtual Machines DSv3 Series,1.536,1 Hour,US East 2,D32-8s v3,,USD,eastus2,Virtual Machines
,NC24rs v3 Low Priority,Virtual Machines NCSv3 Series Windows,5.83488,1 Hour,US East 2,NC24rs v3 Low Priority,,USD,eastus2,Virtual Machines
,NC24rs v3 Low Priority,Virtual Machines NCSv3 Series Windows,2.6928,1 Hour,US East 2,NC24rs v3 Low Priority,,USD,eastus2,Virtual Machines
,E16s v6 Spot,Virtual Machines Esv6 Series Windows,0.25116,1 Hour,US East 2,E16s v6 Spot,,USD,eastus2,Virtual Machines
,E16s v6 Spot,Virtual Machines Esv6 Series Windows,0.14812,1 Hour,US East 2,E16s v6 Spot,,USD,eastus2,Virtual Machines
,Standard_D2ds_v5 Low Priority,Virtual Machines Ddsv5 Series Windows,0.082,1 Hour,US East 2,D2ds v5 Low Priority,,USD,eastus2,Virtual Machines
,Standard_D2ds_v5 Low Priority,Virtual Machines Ddsv5 Series Windows,0.0226,1 Hour,US East 2,D2ds v5 Low Priority,,USD,eastus2,Virtual Machines
,E64s v3 Spot,Virtual Machines ESv3 Series Windows,1.267932,1 Hour,US East 2,E64s v3 Spot,,USD,eastus2,Virtual Machines
,E64s v3 Spot,Virtual Machines ESv3 Series Windows,0.700034,1 Hour,US East 2,E64s v3 Spot,,USD,eastus2,Virtual Machines
,Standard_M176ds_4_v3,Virtual Machines Mdsv3 Medium Memory Series Windows,34.56,1 Hour,US East 2,Standard_M176ds_4_v3,,USD,eastus2,Virtual Machines
,Standard_M176ds_4_v3,Virtual Machines Mdsv3 Medium Memory Series Windows,26.47,1 Hour,US East 2,Standard_M176ds_4_v3,,USD,eastus2,Virtual Machines
,E8-4s v4,Virtual Machines Esv4 Series Windows,0.872,1 Hour,US East 2,E8-4s v4,,USD,eastus2,Virtual Machines
,E8-4s v4,Virtual Machines Esv4 Series Windows,0.504,1 Hour,US East 2,E8-4s v4,,USD,eastus2,Virtual Machines
,EC8esv5 Spot,Virtual Machines ECesv5 Series,0.1008,1 Hour,US East 2,EC8esv5 Spot,,USD,eastus2,Virtual Machines
,Standard_D8d_v5 Spot,Virtual Machines Ddv5 Series,0.091259,1 Hour,US East 2,D8d v5 Spot,,USD,eastus2,Virtual Machines
,FX32ms v2,Virtual Machines FXmsv2 Series Windows,5.013,1 Hour,US East 2,FX32ms v2,,USD,eastus2,Virtual Machines
,FX32ms v2,Virtual Machines FXmsv2 Series Windows,3.541,1 Hour,US East 2,FX32ms v2,,USD,eastus2,Virtual Machines
,FX64-32ms v2 Spot,Virtual Machines FXmsv2 Series,0.99148,1 Hour,US East 2,FX64-32ms v2 Spot,,USD,eastus2,Virtual Machines
,Standard_E64d_v5 Spot,Virtual Machines Edv5 Series,0.864461,1 Hour,US East 2,E64d v5 Spot,,USD,eastus2,Virtual Machines
,Standard_M96-24s_1_v3 Spot,Virtual Machines Msv3 Medium Memory Series Linux,1.868,1 Hour,US East 2,Standard_M96-24s_1_v3 Spot,,USD,eastus2,Virtual Machines
,Lsv2 Type1,LSv2 Series Dedicated Host,6.864,1 Hour,US East 2,Lsv2 Type1,,USD,eastus2,Virtual Machines
,Lsv2 Type1,LSv2 Series Dedicated Host,38302.0,1 Hour,US East 2,Lsv2 Type1,1 Year,USD,eastus2,Virtual Machines
,Lsv2 Type1,LSv2 Series Dedicated Host,76303.0,1 Hour,US East 2,Lsv2 Type1,3 Years,USD,eastus2,Virtual Machines
,D96als v6 Low Priority,Virtual Machines Dalsv6 Series,0.772,1 Hour,US East 2,D96als v6 Low Priority,,USD,eastus2,Virtual Machines
,F2as v6,Virtual Machines Fasv6 Series,0.137,1 Hour,US East 2,F2as v6,,USD,eastus2,Virtual Machines
,F2as v6,Virtual Machines Fasv6 Series,742.0,1 Hour,US East 2,F2as v6,1 Year,USD,eastus2,Virtual Machines
,F2as v6,Virtual Machines Fasv6 Series,1400.0,1 Hour,US East 2,F2as v6,3 Years,USD,eastus2,Virtual Machines
,B2ats v2 Spot,Virtual Machines Basv2 Series,0.006702,1 Hour,US East 2,B2ats v2 Spot,,USD,eastus2,Virtual Machines
,Standard_L80as_v3 Low Priority,Lasv3 Series Linux,1.248,1 Hour,US East 2,L80as v3 Low Priority,,USD,eastus2,Virtual Machines
,D64ls v5 Low Priority,Virtual Machines Dlsv5 Series,0.544,1 Hour,US East 2,D64ls v5 Low Priority,,USD,eastus2,Virtual Machines
